Ticker,Direccion,Regimen_Mercado,Fecha_Entrada,Fecha_Salida,Precio_Entrada,Precio_Salida,Volumen_Acciones,Exposicion_EUR,Ganancia_Pct,PnL_Neto_EUR,Motivo_Salida,Confianza_IA
FCC,LONG,BULL,2025-01-02 09:00:00,2025-01-27 10:00:00,8.87,9.24,886,7857.16,4.17%,319.89,TIEMPO_MAX,96.34%
MRL,LONG,BULL,2025-01-02 13:00:00,2025-01-13 09:00:00,9.7419,9.6873,959,9344.05,-0.56%,-61.72,TRAILING_STOP,93.6%
LDA,LONG,BULL,2025-01-06 09:00:00,2025-01-08 12:00:00,1.088,1.0369,8588,9344.05,-4.7%,-448.51,TRAILING_STOP,98.34%
CIE,LONG,BULL,2025-01-09 09:00:00,2025-02-03 10:00:00,24.85,25.1,364,9056.23,1.01%,82.05,TIEMPO_MAX,96.04%
MTS,LONG,BULL,2025-01-09 09:00:00,2025-01-31 15:00:00,21.32,24.21,425,9056.23,13.56%,1218.55,TIEMPO_MAX,95.21%
LDA,LONG,BULL,2025-01-13 09:00:00,2025-02-04 16:00:00,1.006,1.228,8623,8674.79,22.07%,1905.64,TIEMPO_MAX,97.17%
BKT,LONG,BULL,2025-01-13 09:00:00,2025-01-23 09:00:00,7.5912,7.5076,2285,17349.58,-1.1%,-208.31,TRAILING_STOP,96.14%
ENG,LONG,BULL,2025-01-13 14:00:00,2025-02-05 11:00:00,10.4518,10.7993,1658,17326.11,3.32%,558.73,TIEMPO_MAX,93.7%
IDR,LONG,BULL,2025-01-13 15:00:00,2025-01-27 09:00:00,17.6239,17.9682,983,17326.11,1.95%,321.19,TRAILING_STOP,93.41%
ANE,LONG,BULL,2025-01-16 09:00:00,2025-01-27 14:00:00,18.4022,17.5657,942,17326.11,-4.55%,-804.95,TRAILING_STOP,96.92%
PHM,LONG,BULL,2025-01-23 09:00:00,2025-02-14 15:00:00,80.3,97.6,207,16603.58,21.54%,3560.51,TIEMPO_MAX,96.09%
ANA,LONG,BULL,2025-01-27 09:00:00,2025-02-18 15:00:00,106.0833,105.0224,177,18781.85,-1.0%,-206.61,TIEMPO_MAX,96.34%
VIS,LONG,BULL,2025-01-27 09:00:00,2025-02-18 16:00:00,59.9,61.0,151,9015.29,1.84%,156.54,TIEMPO_MAX,96.24%
MEL,LONG,BULL,2025-01-27 11:00:00,2025-02-18 17:00:00,6.95,7.255,1355,9416.52,4.39%,403.83,TIEMPO_MAX,93.26%
LOG,LONG,BULL,2025-01-30 09:00:00,2025-02-21 15:00:00,25.6394,25.9559,365,9352.12,1.23%,106.09,TIEMPO_MAX,96.63%
ALM,LONG,BULL,2025-01-30 09:00:00,2025-02-07 09:00:00,9.57,9.1202,977,9352.12,-4.7%,-448.9,TRAILING_STOP,96.09%
DOM,LONG,BULL,2025-02-03 09:00:00,2025-02-13 10:00:00,3.065,3.0901,3083,9449.6,0.82%,68.09,TRAILING_STOP,96.24%
IDR,LONG,BULL,2025-02-06 09:00:00,2025-02-28 15:00:00,16.3927,20.7317,1178,19306.64,26.47%,5090.99,TIEMPO_MAX,97.61%
TRE,LONG,BULL,2025-02-06 09:00:00,2025-02-18 09:00:00,15.17,15.0066,636,9653.32,-1.08%,-113.63,TRAILING_STOP,96.83%
FCC,LONG,BULL,2025-02-06 09:00:00,2025-02-21 14:00:00,9.81,10.4706,984,9653.32,6.73%,640.4,TRAILING_STOP,96.73%
ALM,LONG,BULL,2025-02-13 10:00:00,2025-02-24 09:00:00,9.1,9.313,1057,9622.85,2.34%,215.59,TRAILING_STOP,94.92%
CIE,LONG,BULL,2025-02-17 09:00:00,2025-02-28 09:00:00,24.55,23.3961,404,9907.69,-4.7%,-475.57,TRAILING_STOP,97.56%
ROVI,LONG,BULL,2025-02-17 09:00:00,2025-02-28 10:00:00,53.9914,52.2301,184,9907.69,-3.26%,-333.12,TRAILING_STOP,96.92%
COL,LONG,BULL,2025-02-20 09:00:00,2025-02-28 09:00:00,5.189,5.3535,3673,19059.65,3.17%,585.23,TRAILING_STOP,96.39%
ENG,LONG,BULL,2025-02-20 09:00:00,2025-03-06 09:00:00,10.728,10.7863,1777,19059.65,0.54%,84.56,TRAILING_STOP,96.24%
MAP,LONG,BULL,2025-02-20 09:00:00,2025-03-14 15:00:00,2.5605,2.6914,3722,9529.83,5.11%,477.66,TIEMPO_MAX,96.04%
NTGY,LONG,BULL,2025-02-24 09:00:00,2025-03-05 13:00:00,23.362,22.264,822,19207.43,-4.7%,-921.96,TRAILING_STOP,97.36%
DOM,LONG,BULL,2025-02-24 09:00:00,2025-03-11 15:00:00,2.785,2.7878,3592,10003.87,0.1%,-0.13,TRAILING_STOP,96.58%
CIE,LONG,BULL,2025-03-03 09:00:00,2025-03-04 13:00:00,22.45,21.8767,427,9578.44,-2.55%,-254.16,TRAILING_STOP,97.12%
GRF,LONG,BULL,2025-03-03 09:00:00,2025-03-06 12:00:00,10.6353,10.4975,3518,37415.78,-1.3%,-522.09,TRAILING_STOP,97.07%
SLR,LONG,BULL,2025-03-03 09:00:00,2025-03-04 12:00:00,7.835,7.6876,2653,20786.54,-1.88%,-411.91,TRAILING_STOP,96.88%
MTS,LONG,BULL,2025-03-06 09:00:00,2025-03-10 09:00:00,31.66,30.3818,287,9088.89,-4.04%,-376.05,TRAILING_STOP,96.78%
ACS,LONG,BULL,2025-03-06 09:00:00,2025-03-11 15:00:00,55.45,53.0145,341,18935.18,-4.39%,-850.62,TRAILING_STOP,96.78%
VIS,LONG,BULL,2025-03-06 09:00:00,2025-03-28 15:00:00,60.4,64.4,150,9088.89,6.62%,592.82,TIEMPO_MAX,97.12%
ENC,LONG,BULL,2025-03-06 09:00:00,2025-03-10 09:00:00,3.398,3.2383,2675,9088.89,-4.7%,-436.27,TRAILING_STOP,97.02%
PHM,LONG,BULL,2025-03-06 09:00:00,2025-03-10 10:00:00,97.9,93.3187,193,18935.18,-4.68%,-905.01,TRAILING_STOP,96.88%
REP,LONG,BULL,2025-03-06 15:00:00,2025-03-31 12:00:00,10.948,11.1136,3230,35359.12,1.51%,499.48,TIEMPO_MAX,93.07%
LDA,LONG,BULL,2025-03-10 09:00:00,2025-04-01 13:00:00,1.186,1.1775,6989,8289.28,-0.72%,-67.91,TRAILING_STOP,97.56%
FCC,LONG,BULL,2025-03-10 09:00:00,2025-04-02 13:00:00,10.3,10.36,805,8289.28,0.58%,40.0,TIEMPO_MAX,95.8%
ALM,LONG,BULL,2025-03-10 09:00:00,2025-03-31 12:00:00,9.955,9.8752,833,8289.28,-0.8%,-74.7,TRAILING_STOP,95.46%
ANE,LONG,BULL,2025-03-10 10:00:00,2025-03-27 09:00:00,16.9649,16.9559,1053,17860.77,-0.05%,-27.39,TRAILING_STOP,93.7%
ENC,LONG,BULL,2025-03-13 09:00:00,2025-03-31 09:00:00,3.222,3.1431,2968,9564.46,-2.45%,-243.87,TRAILING_STOP,96.53%
TRE,LONG,BULL,2025-03-13 09:00:00,2025-03-28 09:00:00,15.13,16.6509,632,9564.46,10.05%,951.88,TRAILING_STOP,96.09%
DOM,LONG,BULL,2025-03-17 09:00:00,2025-03-31 09:00:00,2.87,2.7878,3507,10064.0,-2.87%,-298.48,TRAILING_STOP,96.58%
MTS,LONG,BULL,2025-03-27 09:00:00,2025-03-28 15:00:00,28.2,26.8746,357,10061.8,-4.7%,-482.97,TRAILING_STOP,96.48%
NTGY,LONG,BULL,2025-03-27 09:00:00,2025-04-07 09:00:00,23.3072,22.6458,704,16408.24,-2.84%,-482.04,TRAILING_STOP,96.44%
ANA,LONG,BULL,2025-03-31 09:00:00,2025-04-04 15:00:00,117.1738,113.8278,141,16476.0,-2.86%,-486.96,TRAILING_STOP,96.09%
ROVI,LONG,BULL,2025-03-31 09:00:00,2025-04-04 12:00:00,50.8443,48.4546,176,8938.8,-4.7%,-429.06,TRAILING_STOP,96.04%
PHM,LONG,BULL,2025-03-31 09:00:00,2025-04-02 09:00:00,81.45,78.0098,202,16476.0,-4.22%,-712.38,TRAILING_STOP,97.66%
IAG,LONG,BULL,2025-03-31 12:00:00,2025-04-01 16:00:00,3.0149,2.8945,12609,38015.02,-3.99%,-1555.7,TRAILING_STOP,93.9%
DOM,LONG,BULL,2025-04-03 09:00:00,2025-04-04 12:00:00,2.755,2.6255,3447,9495.65,-4.7%,-455.79,TRAILING_STOP,97.22%
GRF,LONG,BULL,2025-04-03 09:00:00,2025-04-04 09:00:00,8.4452,8.085,4243,35833.17,-4.26%,-1563.99,TRAILING_STOP,96.97%
FDR,LONG,BULL,2025-04-03 09:00:00,2025-04-04 09:00:00,20.6099,19.6412,756,15582.61,-4.7%,-747.96,TRAILING_STOP,96.29%
ACX,LONG,BULL,2025-04-03 09:00:00,2025-04-03 17:00:00,10.2155,9.7354,1525,15582.61,-4.7%,-747.96,TRAILING_STOP,95.9%
IAG,LONG,BEAR,2025-04-07 09:00:00,2025-04-14 12:00:00,2.5094,2.7497,13167,33041.28,9.58%,3130.99,TIEMPO_FIX,97.9%
ACX,LONG,BEAR,2025-04-07 09:00:00,2025-04-14 12:00:00,8.2252,9.0034,1546,12712.34,9.46%,1190.02,TIEMPO_FIX,97.36%
CIE,LONG,BEAR,2025-04-07 09:00:00,2025-04-14 12:00:00,20.75,21.6,405,8405.58,4.1%,335.92,TIEMPO_FIX,97.36%
CABK,LONG,BEAR,2025-04-07 09:00:00,2025-04-14 12:00:00,5.1996,5.9072,6355,33041.28,13.61%,4463.46,TIEMPO_FIX,97.07%
COL,LONG,BEAR,2025-04-07 09:00:00,2025-04-14 12:00:00,4.9177,5.1224,1709,8405.58,4.16%,341.48,TIEMPO_FIX,97.02%
FCC,LONG,BEAR,2025-04-07 09:00:00,2025-04-14 12:00:00,9.46,10.148,889,8405.58,7.27%,602.91,TIEMPO_FIX,96.88%
BKT,LONG,BEAR,2025-04-07 09:00:00,2025-04-14 12:00:00,7.9128,9.1225,1607,12712.34,15.29%,1930.74,TIEMPO_FIX,96.83%
REP,LONG,BULL,2025-04-17 09:00:00,2025-05-14 15:00:00,9.3755,10.7595,4208,39450.74,14.76%,5784.22,TIEMPO_MAX,94.48%
ROVI,LONG,BULL,2025-04-17 09:00:00,2025-05-14 15:00:00,48.13,52.172,219,10520.2,8.4%,872.98,TIEMPO_MAX,94.19%
ENC,LONG,BULL,2025-04-17 09:00:00,2025-04-30 09:00:00,2.922,2.8388,3600,10520.2,-2.85%,-310.14,TRAILING_STOP,94.63%
LDA,LONG,BULL,2025-04-17 09:00:00,2025-05-15 09:00:00,1.19,1.262,8841,10520.2,6.05%,626.0,TIEMPO_MAX,95.8%
TEF,LONG,BULL,2025-04-17 09:00:00,2025-05-14 09:00:00,3.8412,3.9191,10270,39450.74,2.03%,760.66,TRAILING_STOP,95.02%
MRL,LONG,BULL,2025-04-17 09:00:00,2025-05-14 15:00:00,9.1462,10.3966,2094,19148.64,13.67%,2598.71,TIEMPO_MAX,94.92%
PHM,LONG,BULL,2025-05-02 09:00:00,2025-05-07 09:00:00,75.85,73.6155,133,10075.57,-2.95%,-306.9,TRAILING_STOP,96.39%
DOM,LONG,BULL,2025-05-08 09:00:00,2025-05-30 17:00:00,3.075,3.08,3138,9649.92,0.16%,6.04,TIEMPO_MAX,95.12%
LOG,LONG,BULL,2025-05-15 09:00:00,2025-06-06 15:00:00,25.9818,26.5011,872,22644.48,2.0%,429.95,TIEMPO_MAX,97.17%
TRE,LONG,BULL,2025-05-15 09:00:00,2025-06-06 15:00:00,17.28,19.63,655,11322.24,13.6%,1528.45,TIEMPO_MAX,97.02%
CIE,LONG,BULL,2025-05-15 09:00:00,2025-06-06 17:00:00,24.05,23.95,471,11322.24,-0.42%,-58.4,TIEMPO_MAX,96.78%
VIS,LONG,BULL,2025-05-15 09:00:00,2025-06-06 15:00:00,61.6,62.2,184,11322.24,0.97%,98.96,TIEMPO_MAX,96.73%
GRF,LONG,BULL,2025-05-15 09:00:00,2025-05-23 14:00:00,8.5122,8.9326,4988,42458.4,4.94%,2054.53,TRAILING_STOP,96.68%
ELE,LONG,BULL,2025-05-15 09:00:00,2025-06-06 15:00:00,24.4334,25.8035,927,22644.48,5.61%,1247.14,TIEMPO_MAX,96.44%
LDA,LONG,BULL,2025-05-26 09:00:00,2025-06-16 14:00:00,1.344,1.3608,8547,11486.6,1.25%,132.1,TRAILING_STOP,96.48%
MRL,LONG,BULL,2025-05-26 09:00:00,2025-06-17 15:00:00,10.426,10.8,2203,22973.2,3.59%,801.12,TIEMPO_MAX,96.19%
ALM,LONG,BULL,2025-05-26 09:00:00,2025-06-13 09:00:00,10.88,10.773,1056,11486.6,-0.98%,-124.45,TRAILING_STOP,95.21%
FCC,LONG,BULL,2025-06-02 09:00:00,2025-06-18 09:00:00,12.22,11.8125,940,11487.09,-3.33%,-394.55,TRAILING_STOP,97.07%
ACX,LONG,BULL,2025-06-09 09:00:00,2025-07-01 15:00:00,10.074,10.38,2332,23493.55,3.04%,690.13,TIEMPO_MAX,96.09%
ANA,LONG,BULL,2025-06-09 09:00:00,2025-06-13 09:00:00,144.7554,141.0885,162,23493.55,-2.53%,-618.63,TRAILING_STOP,96.14%
SLR,LONG,BULL,2025-06-09 09:00:00,2025-06-30 12:00:00,8.72,9.7052,2694,23493.55,11.3%,2630.71,TRAILING_STOP,96.24%
PHM,LONG,BULL,2025-06-09 09:00:00,2025-06-11 09:00:00,84.1,88.452,140,11746.77,5.17%,596.12,TRAILING_STOP,97.8%
CIE,LONG,BULL,2025-06-12 09:00:00,2025-07-04 15:00:00,24.55,24.95,480,11794.46,1.63%,180.38,TIEMPO_MAX,96.44%
AENA,LONG,BULL,2025-06-16 09:00:00,2025-06-19 09:00:00,232.8,221.8584,97,22531.23,-4.7%,-1081.5,TRAILING_STOP,97.66%
ENC,LONG,BULL,2025-06-16 09:00:00,2025-07-04 09:00:00,2.866,2.8709,3931,11265.62,0.17%,8.04,TRAILING_STOP,97.22%
AMS,LONG,BULL,2025-06-19 09:00:00,2025-07-11 15:00:00,69.06,71.82,635,43843.47,4.0%,1708.37,TIEMPO_MAX,97.07%
TRE,LONG,BULL,2025-06-19 09:00:00,2025-06-23 09:00:00,19.34,18.431,580,11223.93,-4.7%,-538.75,TRAILING_STOP,96.24%
PHM,LONG,BULL,2025-06-19 09:00:00,2025-06-23 09:00:00,79.75,79.6635,141,11223.93,-0.11%,-23.4,TRAILING_STOP,96.19%
AENA,LONG,BULL,2025-06-23 09:00:00,2025-07-15 15:00:00,22.885,22.915,977,22361.51,0.13%,6.95,TIEMPO_MAX,98.88%
VIS,LONG,BULL,2025-07-01 10:00:00,2025-07-23 17:00:00,60.3,59.2,174,10490.38,-1.82%,-201.86,TIEMPO_MAX,93.55%
FDR,LONG,BULL,2025-07-03 09:00:00,2025-07-25 15:00:00,22.18,22.92,1074,23824.57,3.34%,771.04,TIEMPO_MAX,95.75%
MTS,LONG,BULL,2025-07-03 09:00:00,2025-07-16 15:00:00,28.04,27.9059,376,10539.23,-0.48%,-60.96,TRAILING_STOP,97.61%
PHM,LONG,BULL,2025-07-03 09:00:00,2025-07-08 15:00:00,81.5,80.703,129,10539.23,-0.98%,-113.6,TRAILING_STOP,96.34%
TRE,LONG,BULL,2025-07-07 09:00:00,2025-07-22 15:00:00,20.18,20.4876,591,11927.36,1.52%,169.88,TRAILING_STOP,95.7%
ALM,LONG,BULL,2025-07-07 09:00:00,2025-07-16 09:00:00,10.66,10.4706,1119,11927.36,-1.78%,-223.84,TRAILING_STOP,95.95%
DOM,LONG,BULL,2025-07-10 09:00:00,2025-07-21 09:00:00,3.22,3.3642,3553,11441.54,4.48%,500.94,TRAILING_STOP,97.8%
IDR,LONG,BULL,2025-07-14 09:00:00,2025-07-23 17:00:00,38.42,37.2708,1177,45206.03,-2.99%,-1397.39,TRAILING_STOP,97.02%
CIE,LONG,BULL,2025-07-17 09:00:00,2025-08-08 15:00:00,24.1,25.85,442,10645.77,7.26%,762.39,TIEMPO_MAX,96.83%
FCC,LONG,BULL,2025-07-17 09:00:00,2025-07-31 16:00:00,11.22,11.1699,949,10645.77,-0.45%,-58.18,TRAILING_STOP,96.68%
MRL,LONG,BULL,2025-07-17 09:00:00,2025-08-08 15:00:00,11.49,13.23,927,10645.77,15.14%,1601.51,TIEMPO_MAX,95.95%
LDA,LONG,BULL,2025-07-17 09:00:00,2025-08-11 12:00:00,1.352,1.374,7874,10645.77,1.63%,162.58,TIEMPO_MAX,95.17%
ROVI,LONG,BULL,2025-07-21 09:00:00,2025-07-31 14:00:00,52.65,54.9045,229,12072.79,4.28%,504.89,TRAILING_STOP,96.19%
ENC,LONG,BULL,2025-07-24 09:00:00,2025-08-01 09:00:00,2.88,2.7481,4152,11958.44,-4.58%,-559.8,TRAILING_STOP,97.12%
ENG,LONG,BULL,2025-07-24 09:00:00,2025-08-15 15:00:00,13.41,13.235,1784,23916.88,-1.3%,-336.03,TIEMPO_MAX,96.48%
NTGY,LONG,BULL,2025-07-24 09:00:00,2025-08-05 09:00:00,27.24,26.2899,878,23916.88,-3.49%,-858.11,TRAILING_STOP,96.39%
ACX,LONG,BULL,2025-07-28 09:00:00,2025-08-19 15:00:00,10.35,10.93,2323,24040.24,5.6%,1323.14,TIEMPO_MAX,97.95%
ELE,LONG,BULL,2025-07-31 17:00:00,2025-08-25 14:00:00,25.34,26.52,952,24111.72,4.66%,1098.69,TIEMPO_MAX,93.07%
MTS,LONG,BULL,2025-08-04 09:00:00,2025-08-21 12:00:00,26.94,28.6618,428,11530.63,6.39%,725.44,TRAILING_STOP,97.8%
FDR,LONG,BULL,2025-08-07 09:00:00,2025-08-29 15:00:00,22.66,24.52,1012,22929.46,8.21%,1859.19,TIEMPO_MAX,97.95%
NTGY,LONG,BULL,2025-08-11 09:00:00,2025-09-02 15:00:00,26.28,26.76,886,23292.55,1.83%,402.14,TIEMPO_MAX,98.1%
CIE,LONG,BULL,2025-08-14 09:00:00,2025-09-05 15:00:00,26.25,27.25,463,12144.54,3.81%,450.5,TIEMPO_MAX,95.9%
VIS,LONG,BULL,2025-08-18 09:00:00,2025-09-09 15:00:00,59.8,60.9,203,12117.66,1.84%,210.78,TIEMPO_MAX,96.73%
COL,LONG,BULL,2025-08-18 09:00:00,2025-09-02 11:00:00,5.795,5.5377,2091,12117.66,-4.44%,-550.15,TRAILING_STOP,96.39%
ALM,LONG,BULL,2025-08-21 09:00:00,2025-09-12 16:00:00,11.12,11.14,1099,12223.51,0.18%,9.76,TIEMPO_MAX,97.02%
ANE,LONG,BULL,2025-08-21 09:00:00,2025-08-28 09:00:00,24.04,22.9101,508,12223.51,-4.7%,-586.73,TRAILING_STOP,95.46%
TRE,LONG,BULL,2025-08-21 15:00:00,2025-09-05 15:00:00,21.92,21.6405,560,12281.55,-1.28%,-168.88,TRAILING_STOP,93.07%
TEF,LONG,BULL,2025-08-28 09:00:00,2025-09-19 15:00:00,4.605,4.517,9633,44361.02,-1.91%,-892.08,TIEMPO_MAX,96.0%
LDA,LONG,BULL,2025-09-01 09:00:00,2025-09-18 09:00:00,1.33,1.2701,9002,11972.39,-4.51%,-551.36,TRAILING_STOP,96.83%
DOM,LONG,BULL,2025-09-01 09:00:00,2025-09-24 09:00:00,3.255,3.39,3678,11972.39,4.15%,484.58,TIEMPO_MAX,96.34%
ELE,LONG,BULL,2025-09-04 09:00:00,2025-09-26 15:00:00,25.75,26.82,968,24918.8,4.16%,1010.54,TIEMPO_MAX,96.88%
FCC,LONG,BULL,2025-09-04 09:00:00,2025-09-16 13:00:00,11.02,11.0754,1042,11482.58,0.5%,46.24,TRAILING_STOP,96.83%
AENA,LONG,BULL,2025-09-08 09:00:00,2025-09-18 11:00:00,24.46,23.6061,1021,24963.86,-3.49%,-896.45,TRAILING_STOP,97.66%
